,Questions,References,Responses,Node_0,Node_1,Score_0,Score_1
0,哪些基金可以在深交所上市交易？,封闭式基金、交易型开放式基金（简称ETF）、上市开放式基金（简称LOF）、分级基金及深交所认可的其他基金品种。（1）封闭式基金是指在深交所上市交易、基金份额总额在基金合同期限内固定不变的基金。（2）ETF是指在深交所上市交易的开放式基金，其基金份额使用组合证券、现金或者基金合同约定的其他对价按照份额申购、份额赎回的方式进行申赎。 （3）LOF是指在深交所上市交易的开放式基金，其基金份额使用现金按照金额申购、份额赎回的方式进行申赎。（4）分级基金是指通过基金合同约定的风险收益分配方式，将基金份额分为预期风险收益不同的子份额，其中全部或者部分类别份额在深交所上市交易或者申赎的基金。根据基金合同的约定，分级基金的基础份额和子份额之间可以通过分拆、合并进行配对转换，分拆、合并的具体规则由深交所或者其他办理场所另行规定。,单市场股票ETF、单市场债券ETF、跨市场股票ETF、跨市场债券ETF、跨境ETF、黄金ETF、货币ETF、商品期货ETF可以在深交所上市交易。,"（一）单市场股票ETF：指所跟踪股票指数成份证券仅为本所上市股票的ETF。
（二）单市场债券ETF：指所跟踪债券指数成份证券仅为本所上市债券的ETF。
（三）跨市场股票ETF：指所跟踪股票指数成份证券仅为本所和上海证券交易所上市股票的ETF。
（四）跨市场债券ETF：指所跟踪债券指数成份证券包括非本所上市债券的ETF。
（五）跨境ETF：指所跟踪指数成份证券包括境外证券的ETF。
（六）黄金ETF：指以上海黄金交易所现货合约为投资标的、跟踪现货合约价格的ETF。
（七）货币ETF：指仅投资于货币市场工具的ETF。
（八）商品期货ETF：指以持有经中国证监会依法批准设立的商品期货交易所挂牌交易的商品期货合约为主要策略，以跟踪商品期货价格或价格指数为目标，使用商品期货合约组合或基金合同约定的方式进行申购赎回的ETF。","第一条为了规范证券投资基金（以下简称“基金”）份额在深圳证券交易所（以下简称“本所”）的交易、认购和申购、赎回（以下简称“申赎”）业务，保护投资者合法权益，根据《证券投资基金法》、《公开募集证券投资基金运作管理办法》、《证券投资基金销售管理办法》、《深圳证券交易所交易规则》（以下简称“《交易规则》”）等有关规定，制定本细则。
第二条基金份额在本所的交易、认购和申赎适用本细则。本细则未作规定的，适用《交易规则》及本所其他有关业务规则的规定。
第三条基金份额在本所之外其他场所的交易、认购和申赎，适用基金合同、基金招募说明书以及办理场所的相关规定。
第四条基金份额在本所交易、认购和申赎，不代表本所对基金的投资价值作出判断或者保证，基金的投资风险由投资者自行承担。
第五条基金份额在本所交易、认购和申赎，基金管理人应当依法履行信息披露义务，充分揭示基金产品的风险。本所会员应当充分了解和评估客户对基金产品的认知水平和风险承受能力，建立完备的客户管理和服务制度，切实履行投资者适当性管理职责。",0.7875085692592292,0.7721122565676193
1,基金份额交易采用什么方式？,（1）竞价交易： 基金份额竞价交易采用限价申报或者市价申报的方式进行申报。 每个交易日9：15至9：25为开盘集合竞价时间，9：30至11：30、13：00至14：57为连续竞价时间，14：57至15：00为收盘集合竞价时间。 通过竞价交易买入基金份额的，申报数量应当为100份 或者其整数倍。卖出基金份额时，余额不足100份的部分，应当一次性申报卖出。基金份额竞价交易单笔申报最大数量不得超过100万份。 基金份额竞价交易实行价格涨跌幅限制，涨跌幅限制比例为10%。 （2）大宗交易： 基金份额单笔交易数量不低于200万份，或者交易金额不低于200万元人民币，可以采用大宗交易方式。 基金份额采用协议大宗交易方式的，深交所接受申报时间为每个交易日9：15至11：30、13：00至15：30，成交确认时间为每个交易日15：00至15：30。 基金份额采用盘后定价大宗交易方式的，深交所接受中报时间为每个交易日15: 05至15:30。 基金份额协议大宗交易申报价格范围为前收盘价的上下10%。,基金份额交易可以采用竞价交易、大宗交易等方式。,第七条基金份额交易可以采用竞价交易、大宗交易等方式。,基金管理人委托第三方计算基金份额参考净值的，应当与第三方签署协议。,0.7161136597700034,0.6959649639808959
2,基金份额交易的申报价格最小变动单位是多少？,基金份额交易的申报价格最小变动单位为0.001元。,0.001元,第八条基金份额交易的申报价格最小变动单位为0.001元。,"第十二条基金份额竞价交易采用限价申报或者市价申报的方式进行申报。每个交易日9︰15至9︰25为开盘集合竞价时间，9︰30至11︰30、13︰00至14︰57为连续竞价时间，14︰57至15︰00为收盘集合竞价时间。
第十三条通过竞价交易买入基金份额的，申报数量应当为100份或者其整数倍。
卖出基金份额时，余额不足100份的部分，应当一次性申报卖出。
基金份额竞价交易单笔申报最大数量不得超过100万份。
第十四条基金份额竞价交易实行价格涨跌幅限制，涨跌幅限制比例为10%。",0.788493693091964,0.7222853497869796
3,证券公司可办理哪些基金份额的认购和申赎？,证券公司代投资者办理基金份额的认购和申赎，应当具有基金销售业务资格，并经深交所及深交所指定的登记结算机构认可。证券公司参与ETF份额的申赎，还应当和相关基金管理人协商一致，并签署协议。）,证券公司可以办理ETF、LOF、挂牌申赎开放式基金以及本所认可的其他基金品种的基金份额的认购和申赎。,"（一）单市场股票ETF：指所跟踪股票指数成份证券仅为本所上市股票的ETF。
（二）单市场债券ETF：指所跟踪债券指数成份证券仅为本所上市债券的ETF。
（三）跨市场股票ETF：指所跟踪股票指数成份证券仅为本所和上海证券交易所上市股票的ETF。
（四）跨市场债券ETF：指所跟踪债券指数成份证券包括非本所上市债券的ETF。
（五）跨境ETF：指所跟踪指数成份证券包括境外证券的ETF。
（六）黄金ETF：指以上海黄金交易所现货合约为投资标的、跟踪现货合约价格的ETF。
（七）货币ETF：指仅投资于货币市场工具的ETF。
（八）商品期货ETF：指以持有经中国证监会依法批准设立的商品期货交易所挂牌交易的商品期货合约为主要策略，以跟踪商品期货价格或价格指数为目标，使用商品期货合约组合或基金合同约定的方式进行申购赎回的ETF。","第十八条ETF、LOF、挂牌申赎开放式基金及本所认可的其他基金品种可以通过本所认购和申赎，封闭式基金可以通过本所认购。
挂牌申赎开放式基金是指通过本所办理申赎但不上市交易的开放式基金。
第十九条基金管理人通过本所办理基金份额认购和申赎业务的，应当向本所提交申请，并和本所签署协议。
第二十条基金份额认购和申赎的申报时间为每个交易日9︰15至11︰30、13︰00至15︰00。
第二十一条本所会员代投资者办理基金份额的认购和申赎，应当具有基金销售业务资格，并经本所及本所指定的登记结算机构（以下简称“登记结算机构”）认可。本所会员参与ETF份额的申赎，还应当和相关基金管理人协商一致，并签署协议。
第二十二条本所会员接受投资者认购和申赎委托时，应当核实投资者拥有足额的现金、组合证券、其他对价或者基金份额。",0.8009332835770538,0.7992015143052651
4,基金份额认购/申购/赎回的申报时间是什么时候？,每个交易日9：15至11：30、13：00至15：00。,基金份额认购和申赎的申报时间为每个交易日的9:15至11:30和13:00至15:00。,"第十八条ETF、LOF、挂牌申赎开放式基金及本所认可的其他基金品种可以通过本所认购和申赎，封闭式基金可以通过本所认购。
挂牌申赎开放式基金是指通过本所办理申赎但不上市交易的开放式基金。
第十九条基金管理人通过本所办理基金份额认购和申赎业务的，应当向本所提交申请，并和本所签署协议。
第二十条基金份额认购和申赎的申报时间为每个交易日9︰15至11︰30、13︰00至15︰00。
第二十一条本所会员代投资者办理基金份额的认购和申赎，应当具有基金销售业务资格，并经本所及本所指定的登记结算机构（以下简称“登记结算机构”）认可。本所会员参与ETF份额的申赎，还应当和相关基金管理人协商一致，并签署协议。
第二十二条本所会员接受投资者认购和申赎委托时，应当核实投资者拥有足额的现金、组合证券、其他对价或者基金份额。","第二十五条基金份额认购以1000份或者其整数倍进行申报。
基金份额认购申报数量同时应当符合基金合同和基金招募说明书的规定。
第二十六条投资者在基金份额募集期间可以重复认购，认购申报提交后，不得撤销。",0.7933231827599201,0.7900849632827291
5,什么情况深交所可以暂停接受基金份额的申赎申报？,（一）异常情况导致申赎无法正常进行； （二）ETF管理人未在开市前公布ETF的申购赎回要素清单（以下简称申赎清单）或者申赎清单内容出现童大错误； （三）基金管理人根据基金合同和基金招募说明书的约定申请暂停申赎； （四）登记结算机构提请深交所暂停货币ETF的申赎；  （五）交易所所认定的其他情形。,"深交所可以暂停接受基金份额的申赎申报的情况包括以下几种：
1. 异常情况导致申赎无法正常进行；
2. ETF管理人未在开市前公布ETF的申购赎回要素清单或者申赎清单内容出现重大错误；
3. 基金管理人根据基金合同和基金招募说明书的约定申请暂停申赎；
4. 登记结算机构提请深交所暂停货币ETF的申赎；
5. 深交所认定的其他情形。","第二十三条出现下列情形之一的，本所可以暂停接受基金份额的申赎申报：
（一）异常情况导致申赎无法正常进行；
（二）ETF管理人未在开市前公布ETF的申购赎回要素清单（以下简称“申赎清单”）或者申赎清单内容出现重大错误；
（三）基金管理人根据基金合同和基金招募说明书的约定申请暂停申赎；
（四）登记结算机构提请本所暂停货币ETF的申赎；
（五）本所认定的其他情形。","本所暂停接受基金份额申赎申报的，基金管理人应当予以公告。
前述情形消除的，本所恢复接受申赎申报，基金管理人应当予以公告。
第二十四条因不可抗力、意外事件、技术故障、非法入侵等原因造成严重后果的认购、申购和赎回，本所可以采取适当措施或认定无效。",0.8319351898864691,0.8245558203157114
6,基金认购份额是多少？,基金份额认购以1000份或者其整数倍进行申报。 基金份额认购申报数量同时应当符合基金合同和基金招募说明书的规定。 （投资者在基金份额募集期间可以重复认购，认购申报提交后，不得撤销。投资者在深交所认购基金份额应当使用现金。）,基金认购份额是1000份或者其整数倍。,"第二十五条基金份额认购以1000份或者其整数倍进行申报。
基金份额认购申报数量同时应当符合基金合同和基金招募说明书的规定。
第二十六条投资者在基金份额募集期间可以重复认购，认购申报提交后，不得撤销。","第十二条基金份额竞价交易采用限价申报或者市价申报的方式进行申报。每个交易日9︰15至9︰25为开盘集合竞价时间，9︰30至11︰30、13︰00至14︰57为连续竞价时间，14︰57至15︰00为收盘集合竞价时间。
第十三条通过竞价交易买入基金份额的，申报数量应当为100份或者其整数倍。
卖出基金份额时，余额不足100份的部分，应当一次性申报卖出。
基金份额竞价交易单笔申报最大数量不得超过100万份。
第十四条基金份额竞价交易实行价格涨跌幅限制，涨跌幅限制比例为10%。",0.7278443567355785,0.7031585482636735
7,ETF份额怎么申购、赎回？,ETF份额的申赎，按基金合同和基金招募说明书规定的最小申赎单位或者其整数倍进行申报。 ETF份额申赎的申报指令应当包括证券账号、证券代码、买卖方向、数量等内容，申报指令一经确认不得更改或者撤销。,ETF份额的申购和赎回是按照基金合同和基金招募说明书规定的最小申赎单位或其整数倍进行申报的。申购和赎回的申报指令应包括证券账号、证券代码、买卖方向和数量等内容。一旦申报指令确认后，就不能更改或撤销。基金管理人每天开市前应向交易所提供ETF申赎清单，清单的格式和内容应符合交易所的相关规定，并且必须真实、准确、完整。交易所根据基金管理人提供的申赎清单，对符合要求的申赎申报进行办理，对不符合要求的申赎申报进行无效申报处理。如果投资者选择由交易所会员代办ETF份额的申赎业务，会员应全面介绍相关业务规则，揭示可能产生的风险，并要求投资者签署风险揭示书（货币ETF除外）。风险揭示书的格式文本由基金管理人制定。,"第二十八条ETF份额的申赎，按基金合同和基金招募说明书规定的最小申赎单位或者其整数倍进行申报。
第二十九条ETF份额申赎的申报指令应当包括证券账号、证券代码、买卖方向、数量等内容，申报指令一经确认不得更改或者撤销。
第三十条基金管理人应当于每日开市前向本所提供ETF申赎清单。申赎清单的格式和内容应当符合本所相关规定，基金管理人应当保证申赎清单内容的真实、准确、完整。
本所根据基金合同和基金招募说明书的规定，按照基金管理人提供的申赎清单，对符合要求的申赎申报予以办理；对不符合要求的申赎申报作无效申报处理。
第三十一条代投资者办理ETF份额申赎业务的本所会员应当向首次进行ETF份额申赎的投资者全面介绍相关业务规则，充分揭示可能产生的风险，并要求其签署风险揭示书，但货币ETF除外。风险揭示书的格式文本由基金管理人制定。","（一）单市场股票ETF：指所跟踪股票指数成份证券仅为本所上市股票的ETF。
（二）单市场债券ETF：指所跟踪债券指数成份证券仅为本所上市债券的ETF。
（三）跨市场股票ETF：指所跟踪股票指数成份证券仅为本所和上海证券交易所上市股票的ETF。
（四）跨市场债券ETF：指所跟踪债券指数成份证券包括非本所上市债券的ETF。
（五）跨境ETF：指所跟踪指数成份证券包括境外证券的ETF。
（六）黄金ETF：指以上海黄金交易所现货合约为投资标的、跟踪现货合约价格的ETF。
（七）货币ETF：指仅投资于货币市场工具的ETF。
（八）商品期货ETF：指以持有经中国证监会依法批准设立的商品期货交易所挂牌交易的商品期货合约为主要策略，以跟踪商品期货价格或价格指数为目标，使用商品期货合约组合或基金合同约定的方式进行申购赎回的ETF。",0.8496939350498546,0.8392289200767107
8,LOF份额怎么申购、赎回？,LOF份额的申购以金额申报，申报单位为1元；赎回以份额申报，申报单位为1份基金份额。LOF份额的申赎申报数量应当符合基金合同和基金招募说明书的相关规定。 LOF份额的申赎申报可以在当日15：00前撤销。 基金管理人或者其委托的登记结算机构负责LOF份额申赎结果的确认。,LOF份额的申购是以金额申报，申报单位为1元；赎回是以份额申报，申报单位为1份基金份额。申购和赎回的申报数量应当符合基金合同和基金招募说明书的相关规定。申购和赎回的申报可以在当日15︰00前撤销。基金管理人或者其委托的登记结算机构负责确认申购和赎回的结果。挂牌申赎开放式基金份额的申购和赎回适用相同的规定。,"第三十二条LOF份额的申购以金额申报，申报单位为1元；赎回以份额申报，申报单位为1份基金份额。
LOF份额的申赎申报数量应当符合基金合同和基金招募说明书的相关规定。
第三十三条LOF份额的申赎申报可以在当日15︰00前撤销。
第三十四条基金管理人或者其委托的登记结算机构负责LOF份额申赎结果的确认。
第三十五条挂牌申赎开放式基金份额的申赎适用本节的规定。",第四节LOF份额的申购、赎回,0.8206557844738942,0.8051445845773478
9,投资者交易、申赎货币ETF时，需要遵守什么规定？,（一）当日竞价买入的ETF份额，当日可以赎回；当日大宗买入的ETF份额，次一交易日可以赎回； （二）当日申购的ETF份额，当日可以赎回或者竞价卖出，次一交易日可以大宗卖出。,"投资者交易、申赎货币ETF时，需要遵守以下规定：
1. 当日竞价买入的ETF份额，当日可以赎回；当日大宗买入的ETF份额，次一交易日可以赎回。
2. 当日申购的ETF份额，当日可以赎回或者竞价卖出，次一交易日可以大宗卖出。","第四十二条投资者交易、申赎货币ETF时，应当遵守下列规定：
（一）当日竞价买入的ETF份额，当日可以赎回；当日大宗买入的ETF份额，次一交易日可以赎回；
（二）当日申购的ETF份额，当日可以赎回或者竞价卖出，次一交易日可以大宗卖出。","第二十八条ETF份额的申赎，按基金合同和基金招募说明书规定的最小申赎单位或者其整数倍进行申报。
第二十九条ETF份额申赎的申报指令应当包括证券账号、证券代码、买卖方向、数量等内容，申报指令一经确认不得更改或者撤销。
第三十条基金管理人应当于每日开市前向本所提供ETF申赎清单。申赎清单的格式和内容应当符合本所相关规定，基金管理人应当保证申赎清单内容的真实、准确、完整。
本所根据基金合同和基金招募说明书的规定，按照基金管理人提供的申赎清单，对符合要求的申赎申报予以办理；对不符合要求的申赎申报作无效申报处理。
第三十一条代投资者办理ETF份额申赎业务的本所会员应当向首次进行ETF份额申赎的投资者全面介绍相关业务规则，充分揭示可能产生的风险，并要求其签署风险揭示书，但货币ETF除外。风险揭示书的格式文本由基金管理人制定。",0.7838797542080296,0.76307189254295
